state,2016-17 (1k ton),2017-18 (1k ton),2018-19 (1k ton),2019-20 (1k ton),2020-21 (1k ton),2021-22 (1k ton)
NSW,"9,819","4,703","1,850","1,772","12,972","12,029"
VIC,"4,665","3,682","2,277","3,714","4,525","4,246"
SA,"6,133","4,052","3,025","2,689","3,982","4,750"
WA,"9,645","7,699","9,979","5,842","8,793","12,919"
