지점명,시각 (YYYY-MM-DD),월평균 일최저기온 (°C)
Geraldton Airport,2024-03-01,18.9
Geraldton Airport,2024-04-01,16.9
Geraldton Airport,2024-05-01,14.2
Geraldton Airport,2024-06-01,12.3
Geraldton Airport,2024-07-01,10.2
Geraldton Airport,2024-08-01,11.1
Geraldton Airport,2024-09-01,9.8
Geraldton Airport,2024-10-01,12.6
Geraldton Airport,2024-11-01,0.0
Geraldton Airport,2024-12-01,0.0
