지점명,시각 (YYYY-MM-DD),월평균 일최고기온 (°C)
Geraldton Airport,2024-03-01,33.0
Geraldton Airport,2024-04-01,32.3
Geraldton Airport,2024-05-01,28.1
Geraldton Airport,2024-06-01,21.5
Geraldton Airport,2024-07-01,20.3
Geraldton Airport,2024-08-01,20.8
Geraldton Airport,2024-09-01,24.6
Geraldton Airport,2024-10-01,26.0
Geraldton Airport,2024-11-01,0.0
Geraldton Airport,2024-12-01,0.0
