지점명,시각 (YYYY-MM-DD),월 총 강수량 (mm)
Geraldton Airport,2024-03-01,2.2
Geraldton Airport,2024-04-01,0.6
Geraldton Airport,2024-05-01,8.4
Geraldton Airport,2024-06-01,148.2
Geraldton Airport,2024-07-01,157.0
Geraldton Airport,2024-08-01,81.6
Geraldton Airport,2024-09-01,16.4
Geraldton Airport,2024-10-01,36.4
Geraldton Airport,2024-11-01,0.0
Geraldton Airport,2024-12-01,0.0
